Date;Tweet;Hashtags/keyword;Sentiment
03/03/2020;"Tetap waspada dan berdoa ya guys..

#PanikJanganWaspadaHarus
#VirusCoronaindonesia
#maskermahalpic.twitter.com/XWCFyY5Tuk";['#VirusCoronaindonesia'];netral
03/03/2020;"Efek AntiBiotik dan AntiParasitic Alami Cocok Buat Yg Terserang Influenza jg buat imun tubuh kuat.

#VirusCoronaindonesia https://twitter.com/OlshopJak/status/1234876623599484934 …";['#VirusCoronaindonesia'];netral
03/03/2020;"Next Time ada Film pendeknya.
#CoronaVirusUpdate
#VirusCorona
#VirusCoronaindonesia
#COVID19indonesia
#naikhaji
#maskermahal
#masker
#maskermurah
#viralpic.twitter.com/Sga7QeZ6vr";['#VirusCoronaindonesia'];netral
03/03/2020;"Dibalik kesulitan pasti ada kemudahan. #VirusCorona
#VirusCoronaindonesia #anaksma #LawanVirusCorona #Trendinghttps://m.detik.com/health/berita-detikhealth/d-4885671/475-pasien-positif-virus-corona-dinyatakan-sembuh-dan-sehat?_ga=2.77532821.14207425.1583221995-1385895883.1468498439 …";['#VirusCoronaindonesia'];netral
03/03/2020;"Alhamdulillah, ayo semangat dok @drsyuk_InfoKes 
#COVID19
#VirusCoronaindonesia https://twitter.com/drsyuk_InfoKes/status/1234609800459112449 …";['#VirusCoronaindonesia'];positif
03/03/2020;"Virus corona!  Fucek!!!! 

#VirusCorona
#VirusCoronaindonesia
#CoronaVirusUpdate
#VIRUS_CORONA";['#VirusCoronaindonesia'];netral
03/03/2020;"Hanya gara2 Beliau, Pemerintah Indonesia baru mengakui adanyan Penyebaran Virus Corona di Indonesia.

Memang gobeenur Jakarta ini rasa Presiden.

#VirusCoronaindonesia https://twitter.com/aniesbaswedan/status/1234751089611694080 …";['#VirusCoronaindonesia'];negatif
03/03/2020;Menurutku yang lebih mematikan dari Covid-19 bukan virusnya. Tapi isu yang kurang valid atau bahkan berlebihan, juga hoax2 yang menimbulkan ketakutan dan kegelisahan pada masyarakat. Situasi itu pula digunakan oleh sejumlah oknum untuk mendapati keuntungan. #VirusCoronaindonesia;['#VirusCoronaindonesia'];negatif
03/03/2020;"Alhamdulillah! DKI Jakarta, Jawa Barat, .... Ayo, ayo mana lagi. 

Saatnya saling menanggung, saling mendukung dan jangan canggung lawan #VirusCorona !!!!

#COVID19
#VirusCoronaindonesia
#covid19indonesiahttps://twitter.com/detikcom/status/1234852023608205314 …";['#VirusCoronaindonesia'];positif
03/03/2020;Selow wae #VirusCoronaindonesia #VirusCoronapic.twitter.com/D5urRQafWG;['#VirusCoronaindonesia'];netral
03/03/2020;"Wah! Ini teknik nulis berita #VirusCorona . Semoga dilaksanakan scr murni dan konsekuen oleh media siber dan media massa pada umumnya.

Terima kasih dan apresiasi kpd Asosiasi Media Siber Indonesia

Makasih @times_idn 
#COVID19
#covid19indonesia
#VirusCoronaindonesia pic.twitter.com/cZ94hRW1J5";['#VirusCoronaindonesia'];netral
03/03/2020;"Waspada corona dg cuci sapu ...siapa tau tuh virus  ..bersemayam di sapu rumah kamu...
#corona
#viruscorona
#viruscoronaindonesia pic.twitter.com/YWjosNxZoX";['#VirusCoronaindonesia'];netral
03/03/2020;"Waspada Virus Corona, RSUD Halbar Siapkan Ruang Isolasi Khusus
#VirusCoronaindonesia
https://www.simpulrakyat.co.id/2020/03/waspada-virus-corona-rsud-halbar-siapkan-ruang-isolasi-khusus.html …";['#VirusCoronaindonesia'];positif
03/03/2020;"Pemkot Respon Cepat Virus Corona di Makassar 
#VirusCoronaindonesia
https://www.simpulrakyat.co.id/2020/03/pemkot-respon-cepat-virus-corona-di-makassar.html …";['#VirusCoronaindonesia'];positif
03/03/2020;"Njing bangsat bet dah ah
Gua juga mau idup bege!!!!!
Sial bet dah masker udah abis semua di apotek.
Njing yakkk yg ngeborong masker tanpa nyisain buat gua
#VirusCoronaindonesia";['#VirusCoronaindonesia'];negatif
03/03/2020;"Dulu sebelum COVID-19 masuk ke Indonesia malah di becandain, eh skrang dah masuk ke Indonesia pontang panting dah tuuu 
#CoronaVirusIndonesia
#VirusCoronaindonesia";['#VirusCoronaindonesia'];negatif
03/03/2020;"Bandara SIM Perketat Pemeriksaan Penumpang Internasional https://masakini.co/news/bandara-sim-perketat-pemeriksaan-penumpang-internasional/ …
@KemenkesRI @kemenhub151
#masakinico
#masakini
#MasKin
#SobatMasKin
#MasaKitaTumbuhBersama
#CoronaVirusIndonesia
#coronaindonesia
#CoronavirusOutbreak
#VirusCorona
#VirusCoronaindonesia";['#VirusCoronaindonesia'];positif
03/03/2020;"D imana dimana pasti,Corona emangnya apa si!! si Corona corona itu ?

Bingung aja sama jalan ninja kalian, padhalmah yang perlu di takutin mah conggor tentangga karena menyebabkan keributan,dan kematian...

#bacotsantuy #CoronaOutbreak #bacotansantuy #VirusCoronaindonesia";['#VirusCoronaindonesia'];negatif
03/03/2020;"Gara-gara virus corona 
Di singapura 
Masker gratis 
Di indonesia 
Masker di jual mahal banget untuk kepentingan sendiri tanpa memperdulikan rasa kemanusiaan

#opinioranggila
#VirusCoronaindonesia";['#VirusCoronaindonesia'];negatif
03/03/2020;"Cuma di indonesia corona jadi bahan bullyan dan ajang meme gokil-gokilan wkwkwk. Ada corona indonesia masih bisa santuy.
#corona
#CoronaOutbreak
#VirusCoronaindonesia";['#VirusCoronaindonesia'];netral
03/03/2020;Bisa pernyataan pejabat negeri berbeda dengan pernyataan masyarakat yg positif terjangkit korona , ya hanya di negeri ini  , jadi waktu buat pernyataan itu dikarang2 dulu atau gmn . #VirusCorona #VirusCoronaindonesia;['#VirusCoronaindonesia'];negatif
03/03/2020;Wabah Virus Corona amat mempengaruhi harga pasaran emas di Kepulauan Riau. #kepripediaje #VirusCoronaindonesia #COVID19https://kumparan.com/kepripedia/virus-corona-pengaruhi-harga-pasaran-emas-di-kepulauan-riau-1sxDdnReUut …;['#VirusCoronaindonesia'];netral
03/03/2020;Ini artikel dan pernyataan kok gak sinkron. Kalau bukan bilang bukan. Kalau iya bilang iya . Jngn meresahkan tetapi bukan berarti menutup-nutupi kebenaran. Dari kemarin kemenkes bilang tidak ada yg terinfeksi covid-19. #COVID19 #VirusCoronaindonesia #VirusCoronapic.twitter.com/3BExYv9ozA;['#VirusCoronaindonesia'];netral
03/03/2020;"baru baru ini indonesia digemparkan 2 wni positif virus corona
bayangin aja jogja seberapa pusingnya
JOGJA : VIRUS CORONA, UMR RENDAH, KLITIH, ERUPSI MERAPI, ABU VULKANIK, NGUNGSI, BANJIR

lewih mumet to? 
#VirusCorona #jogja #Jogjaheboh2020 #VirusCoronaindonesia #klitih";['#VirusCoronaindonesia'];netral
03/03/2020;"Gratis di Singapura ! 
Tapi ada yg timbun di Surabaya 
#VirusCoronaindonesia pic.twitter.com/gbKBcWvbdD";['#VirusCoronaindonesia'];netral
03/03/2020;"Ini yang gagal dilakukan oleh pemerintahan @jokowi
@KemenkesRI #maskermahal #VirusCoronaindonesia
https://m.cnnindonesia.com/internasional/20200303132031-106-480059/pemerintah-singapura-bagikan-masker-gratis-untuk-warga?utm_source=facebook&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmed …";['#VirusCoronaindonesia'];negatif
03/03/2020;"#Goodtoshare Tak perlu panik dan tetap tenang, Pemerintah telah menyiapkan 100 Rumah Sakit Rujukan Infeksi Virus Corona di Seluruh Indonesia.
Berikut daftarnya dilansir dari situs resmi dari Kementrian Kesehatan.
-
#FIMELA #viruscorona #viruscoronaindonesia pic.twitter.com/lnb6ySQStA";['#VirusCoronaindonesia'];positif
03/03/2020;"Flu  ditengah merebaknya kabar #VirusCoronaindonesia, ngeri juga ya .

#StopPanikLawanCorona #PanikJanganWaspadaHarus";['#VirusCoronaindonesia'];netral
12/03/2020;"pilih"" bulu,trus slogan : Saya Pancasila kemana? @budimandjatmiko @fathuurr_ #VirusCoronaIndonesia";['#VirusCoronaindonesia'];negatif
12/03/2020;pak menkonya sibuk urus anies #VirusCoronaIndonesia;['#VirusCoronaindonesia'];negatif
12/03/2020;Pemerintah Siapkan Insentif untuk Bantu Ekonomi di Tengah Covid-19  #Covid19indonesia #Viruscoronaindonesia https://www.benarnews.org/indonesian/berita/ekonomi-covid-19-03122020155428.html …pic.twitter.com/O6MR83reYg;['#VirusCoronaindonesia'];positif
12/03/2020;"Beberapa bulan lagi menjelang Idul Fitri, seharusnya pemerintah sudah prepare dari sekarang untuk menyikapi mudik lebaran dimana akan terjadi perpindahan massa. Gak mungkin kan dilarang mudik.
#VirusCoronaIndonesia";['#VirusCoronaindonesia'];negatif
12/03/2020;"Puasa sebentar lagi, yang pastinya lebaran sudah dekat. Virus Corona masih menjadi trending topik Nasional. Kira kira apa yang antisipasi Pemerintah @jokowi mengenai Virus Corona saat Bulan Ramadhan dan Mudik Lebaran ?

#VirusCorona #VirusCoronaindonesia";['#VirusCoronaindonesia'];netral
12/03/2020;"Jagalah diri kalian masing2 dan ingat kan saudara2 kita yg ada di sekeliling kita. Virus ini tidak memandang siapa kita

#Mariposa2020
#KamisAmbyar
#VirusCorona
#VirusCoronaindonesia pic.twitter.com/SWNmIUjpvz";['#VirusCoronaindonesia'];positif
12/03/2020;"Pak kapolri, tolong yg kemarin tertangkap menimbun masker untuk eksport/spekukasi .. instruksikan maskernya  agar segera distribusikan normal.

#VirusCoronaindonesia";['#VirusCoronaindonesia'];positif
12/03/2020;Kalo bagus diapresiasi, kalo jelek dikritisi #COVIDー19 #COVID2019 #VirusCoronaindonesia #CoronaVirusIndonesiahttps://twitter.com/mas__piyuuu/status/1238051780530819072 …;['#VirusCoronaindonesia'];positif
12/03/2020;"Sesuatu yang ditutup2i maka penjelasan yang diberikan jadi tidak jelas malah makin membingungkan. Berbuat dan berkatalah dengan JUJUR apa adanya agar tidak sibuk membuat/memproduksi Informasi BOHONG bin NGIBUL.

#COVID19
#VirusCoronaIndonesia";['#VirusCoronaindonesia'];negatif
12/03/2020;Perhatian-perhatian batuk di bilang coronabersin di bilang corona, ingat bersin dan batuk menjadi congorna Tatangga #CoronaOutbreak #CoronaVirusIndonesia #VirusCoronaindonesia #Corona;['#VirusCoronaindonesia'];netral
12/03/2020;Pemprov DKI Jakarta memutuskan untuk menunda perhelatan balap mobil listrik Formula E akibat COVID-19. #VirusCoronaindonesia http://bit.ly/33e7ci5 ;['#VirusCoronaindonesia'];positif
12/03/2020;apakahh ogut harus yes apakah ogut harus aahhh dengan kebijakan inii #VirusCoronaindonesia #COVID19 #COVID19indonesiapic.twitter.com/ukcP3qG4q0;['#VirusCoronaindonesia'];negatif
12/03/2020;"Negara India yg msh termasuk dlm Negara berkembang sj berani melakukan seperti ini utk demi keselamatan Rakyatnya, tidak seperti disini. 

#VirusCoronaIndonesia
#COVID19indonesia";['#VirusCoronaindonesia'];negatif
12/03/2020;Expatriat WN #China yang saya temui meragukan kemampuan  #Indonesia untuk penanganan kasus #VirusCoronaindonesia , apalagi untuk yang masif seperti di China.  Wajar . https://twitter.com/detikcom/status/1237943608071815168 …;['#VirusCoronaindonesia'];negatif
11/03/2020;Sebagai pengguna KRL bogor-jkt, yang penting usaha untuk ngikutin saran dalam menghindari penyebaran virusnya, selebihnya tawakal aja @CurhatKRL #VirusCoronaindonesia pic.twitter.com/iTKaxmxhA7;['#VirusCoronaindonesia'];positif
11/03/2020;"Anaknya pada jatuh sakit eh bapaknya malah mikirin pindah rumah.
#VirusCoronaindonesia
#TolakKerasOmnibusLawhttps://twitter.com/zarazettirazr/status/1237679031249596417 …";['#VirusCoronaindonesia'];negatif
11/03/2020;"Friends, saat ini Virus Corona tengah melanda Indonesia. Please, jangan panik!
Ada beberapa tips yg dpt kamu lakukan utk mencegah Virus Corona menyerang tubuhmu. Ikuti tips ini yah
#viruscorona #VirusCoronaupdate #VirusCoronaindonesia #ellaskincare #ellaskincareofficialpic.twitter.com/Td4osUPTWY";['#VirusCoronaindonesia'];positif
11/03/2020;"Alasan Kenapa Masyarakat Panik dgn Virus Corona padahal para Pejabat sering menghimbau untuk tenang dan jangan Panik. 

Karena Masyarakat tidak memiliki Kepercayaan terhadap para pemimpin mereka. 

#VirusCoronaindonesia";['#VirusCoronaindonesia'];negatif
11/03/2020;"Cegahlah sebelum terlambat.
#VirusCorona
#VirusCoronaindonesia https://twitter.com/jokowi/status/1237714471755190272 …";['#VirusCoronaindonesia'];netral
11/03/2020;"Dari luar Negerinya, dari Negeri mana ? 
Ada hak Rakyat utk menerima informasi yg benar, jgn ditutupi !!! 
Cc: @KemenkesRI
#VirusCoronaIndonesia
#COVID19Indonesia";['#VirusCoronaindonesia'];negatif
11/03/2020;"Sejauh ini jumlah positif virus korona udah 34 orang , 2 membaik, 1 meninggal... Tetap waspada penularan #covid19 tahan sementara kegiatan kumpul2  yang gak penting...
#VirusCoronaindonesia https://twitter.com/detikcom/status/1237691932631076864 …";['#VirusCoronaindonesia'];netral
11/03/2020;"Konsumsi BABI jadi sebab masuknya Virus Corona. 
Jadi... semua yg terkena Virus Corona karena konsumsi daging BABI. 
Aseeek... konsumsi BABI juga yang disono yaa (sambil memandang ke Timur Tengah)     #pork #babi #VirusCoronaindonesia #makan #makananenak #makanan #timur";['#VirusCoronaindonesia'];netral
11/03/2020;"Kasusnya mewabah di seluruh dunia, Wirang Birawa ungkapkan firasatnnya soal Corona di pertengahan tahun ini. Korbannya kini makin bertambah di tanah air. #VirusCoronaindonesia
http://star.grid.id/amp/452057752/infeksi-virus-corona-semakin-meningkat-hingga-27-orang-di-indonesia-wirang-birawa-ungkap-firasatnya-tentang-wabah-ini-untuk-pertengahan-tahun-nanti …";['#VirusCoronaindonesia'];netral
11/03/2020;"Belum lagi ditiup angin mendarat di mata, terhirup hidung, masuk mulut suka kalau planga plongo. 
#VirusCoronaIndonesia
https://m.kumparan.com/kumparansains/riset-virus-corona-bisa-menyebar-hingga-4-5-meter-bertahan-30-menit-di-udara-1szrzHSN3f7 …";['#VirusCoronaindonesia'];netral
11/03/2020;Rakyat berharap Pemerintahan @jokowi meningkatkan kewaspadaan Wabah #VirusCoronaindonesia https://twitter.com/CNNIndonesia/status/1237622239626842113 …;['#VirusCoronaindonesia'];positif
11/03/2020;Mohon lebih diperhatikan APD untuk tenaga medis Pak @jokowi @KemenkesRI mereka garda terdepan kita dlm memerangi #VirusCoronaindonesia . Sedih melihat kondisi mereka gini. Disisi lain jg salut atas kreatifitas mereka dgn prlengkapan seadanya. Tlg support mereka lebih maksimal :') https://twitter.com/kumparan/status/1237335343063539712 …;['#VirusCoronaindonesia'];negatif
11/03/2020;"Pemerintah siapkan langkah-langkah antisipasi dampak virus Corona terhadap iklim investasi di Indonesia.
#COVID19 #WaspadaCOVID19 #coronavirus #VirusCoronaindonesia pic.twitter.com/JFk4LUUpW8";['#VirusCoronaindonesia'];positif
18/03/2020;meskipun #VirusCoronaIndonesia masih berkliaran tetap semangat kerja  #KamisAmbyar;['#VirusCoronaindonesia'];netral
18/03/2020;"Semoga negara kita bisa menghadapi semua nya
#Gempa #VirusCoronaIndonesia #VirusCoronaupdate";['#VirusCoronaindonesia'];positif
18/03/2020;Selamat pagi, resiko kematian akibat Virus COVID-19 di Indonesia makin tinggi. Yuk jaga kesehatan #VirusCoronaIndonesia pic.twitter.com/K7R2IvCxTc;['#VirusCoronaindonesia'];netral
18/03/2020;Seriusan deh nanya, disuruh #dirumahaja itu emangnya virus corona gak bisa masuk ke dalam rumah ya? #VirusCoronaIndonesia;['#VirusCoronaindonesia'];negatif
18/03/2020;"Wabah #COVID19 jangan sampai melupakan virus korupsi yg harus dibasmi. #VirusCorona #VirusCoronaIndonesia
https://www.kompas.tv/article/71954/sidang-kasus-suap-mega-proyek-meikarta-eks-sekda-jawa-barat-divonis-4-tahun-penjara …";['#VirusCoronaindonesia'];negatif
18/03/2020;"Harus tetap bekerja di luar disaat marak marak nya virus covid - 19 
Semangat berjuang indonesia ku
Untuk rakyat kecil kita pasti bisa ngelewatin ini semua... 
Tetap semangat dan jangan lupa senyum hari ini... 
#VirusCoronaIndonesia";['#VirusCoronaindonesia'];positif
18/03/2020;"Selagi masih menjadi pendukung dan elit politik yang berada dalam lingkaran setan Pemerintah, ia bebas melakukan apapun~
#HoaxCorona #VirusCorona #Covid19 #VirusCoronaIndonesia #COVID19indonesiapic.twitter.com/ONS5AZNkLq";['#VirusCoronaindonesia'];negatif
18/03/2020;"Pak Presiden RI @jokowi ngerti ga persoalan yang dihadapi  para dokter dan rekan2 Perawat Ini?
Coba empatinya dikembangkan lebih baik lagi.

#VirusCoronaIndonesia
#VirusCoronaupdatehttps://twitter.com/zarazettirazr/status/1240253280778735616?s=19 …";['#VirusCoronaindonesia'];negatif
18/03/2020;Berharap para pejabat ky DPR, MPR, Menteri, mau menyumbangkan sebagian gajinya untuk beli alat test corona sprti di korea. 1 orang 20jt atau 30jt aja bisa ngebantu banget kan. Ayo dong pliss  kita ataso sama2, kasian rakyat #VirusCoronaIndonesia #IndonesiaMelawanCovid19;['#VirusCoronaindonesia'];negatif
18/03/2020;"Semoga negara kita bisa menghadapi semua nya
#Gempa #VirusCoronaIndonesia #VirusCoronaupdate";['#VirusCoronaindonesia'];positif
18/03/2020;Setelah acara selesai mereka akan kembali menyebar di mesjid2 dikampungnya.... Sambil membawa #VirusCoronaIndonesia;['#VirusCoronaindonesia'];netral
18/03/2020;"Tolong bangett inii, semoga coronaa cepatt berlalu sebelum bulan ramadhan
#coronavirus #VirusCoronaIndonesia";['#VirusCoronaindonesia'];netral
18/03/2020;"Dear Indonesiaku..
Jangan panik punya Allah guys
Jangan terlalu tenang da harus ikhtiar
Lobaken dahar guys #VirusCoronaIndonesia
#CegahCorona";['#VirusCoronaindonesia'];positif
18/03/2020;Kalo gini lebih pencitraan ya pak gub, mhn maaf , baiknya berdayakan aparatur desa , ormas dll utk kampanyekan cegah covid-19 , ngih #viruscoronaindonesia https://twitter.com/ganjarpranowo/status/1240255820396298240 …;['#VirusCoronaindonesia'];negatif
18/03/2020;"Jangan hiraukan Pak yg kek ginian. Abaikan aja. Ngabisin Waktu dan kuota.

#VirusCoronaIndonesia
https://twitter.com/msaid_didu/status/1240251952073543681?s=19 …";['#VirusCoronaindonesia'];negatif
18/03/2020;Harus dibuka wilayah terpapar diseluruh Indonesia sampai wilayah kelurahan, harus cepat, jgn blunder @jokowi  cc @KemenkesRI @ridwankamil #viruscoronaindonesia https://twitter.com/antaranews/status/1240213316146016256 …;['#VirusCoronaindonesia'];negatif
18/03/2020;"Pasti nya setelah ini akan ada hari peringatan Virus sedunia.
Atau sudah ada 
#VirusCoronaIndonesia
#COVID2019
#haricoronasedunia
#VirusCorona";['#VirusCoronaindonesia'];netral
18/03/2020;"Hindari kerumunan, perbanyak menanam kebaikan 



#VirusCorona
#VirusCoronaIndonesia
#civid19pic.twitter.com/G3YOEddgMJ";['#VirusCoronaindonesia'];netral
18/03/2020;"Masih tentang #SocialDistancing
#Corona #VirusCoronaIndonesia pic.twitter.com/nVYn2yTM9k";['#VirusCoronaindonesia'];netral
18/03/2020;"Kalo hasil Lab Positive kemungkinan sudah di Publish dengan sumringah. 
#VirusCoronaIndonesia
#VirusCoronaUpdatehttps://twitter.com/Dogelkarya82/status/1239220597051158528 …";['#VirusCoronaindonesia'];positif
18/03/2020;"Wabah #VirusCoronaIndonesia adalah ranah publik maka sudah sewajarnya kita bersikap netral & saling bantu demi kemanusiaan.

Trimakasih @muhammadiyah https://twitter.com/Abe_Mukti/status/1240143115803070465 …";['#VirusCoronaindonesia'];netral
18/03/2020;"Menghadapi Pandemi Virus Corona, WHO meminta agar Presiden Jokowi segera menyatakan darurat nasional. Bagaimana reaksi Pemerintah? Mengapa penanganan pandemi ini langsung ditangani oleh Jokowi?
#VirusCorona #VirusCoronaIndonesia #COVID2019 #COVID19https://rumahginjal.id/tangkas-melawan-pandemi …";['#VirusCoronaindonesia'];negatif
18/03/2020;"Baru mulai tes bgtu ada rekan sejawatnya yg jd suspect covid19 ya ? Ck..ck...ck 

#VirusCoronaIndonesia";['#VirusCoronaindonesia'];negatif
18/03/2020;"safari subuh Kapolres Lubuklinggau sampaikan pesan khamtibmas ""jangan mudah percaya berita Hoax tentang virus corona, saring dahulu sebelum di sharing."" 
#CoronaIndonesia
#VirusCoronaupdate
#VirusCoronaIndonesia
#polripromoterpic.twitter.com/PjT3ILNZIV";['#VirusCoronaindonesia'];positif
18/03/2020;#Jogja 4-5 hari ini panasnya dahsyat, saya sampe kelimpungan krn emg ga kuat gerah, tapi kata kanjeng Sultan ini ada baiknya, karena cuaca panas akan membunuh #VirusCoronaIndonesia ,semoga Jogja dan Indonesia selalu aman. #sabar;['#VirusCoronaindonesia'];positif
15/03/2020;Ini terobosan penting, boleh jadi contoh kota lain atau harusnya  seperti ini dgn contoh penanganan di korea selatan #viruscoronaindonesia @KemenkesRI @jokowihttps://twitter.com/yunartowijaya/status/1239232368394866688 …;['#VirusCoronaindonesia'];positif
15/03/2020;"Apapun yang terjadi pada bumi kita sekarang, semoga tidak menjadikan kita lupa kepada sang pencipta

#VirusCoronaupdate #VirusCoronaIndonesia";['#VirusCoronaindonesia'];netral
15/03/2020;Gubernur DKI udh membatasi hilir mudik transportasi umum. Udah pada nurut aja napah. Yang perlu di lockdown adalah mulut dan jempol kalian #VirusCoronaIndonesia;['#VirusCoronaindonesia'];positif
15/03/2020;"Apalah daya kami sebagai bawahan pak presiden 
#VirusCoronaIndonesia #CoronaAlertpic.twitter.com/KjbHrC2y0A";['#VirusCoronaindonesia'];netral
15/03/2020;"Virus Corona berasal dari China, akibat Rakus apapun dimakan.
Semua yg memiliki BOM terdahsyat kalah sama Virusnya orang China.

#covid19 #COVID2019 #covid19Indonesia #VIRUS_CORONA #Virus #VirusCorona #VirusCoronaIndonesia #VirusCoronaupdate";['#VirusCoronaindonesia'];negatif
15/03/2020;"Alhamdulillah...smoga wabah #viruscorona cepat hilang di semua negara...
#VirusCoronaupdate
#VirusCoronaIndonesia
#COVIDー19https://m.liputan6.com/global/read/4197490/jumlah-pasien-merosot-china-mulai-tutup-rs-darurat-virus-corona-di-wuhan …";['#VirusCoronaindonesia'];positif
15/03/2020;"MRT Jakarta telah melakukan sejumlah tindakan pencegahan sesuai dengan yang ditetapkan oleh pemerintah. 

#news #beritaterkini #COVIDー19 #VirusCoronaIndonesia #CoronaVirusUpdates #upperlineidhttps://upperline.id/post/seperti-ini-upaya-pencegahan-penyebaran-covid-19-di-mrt-jakarta …";['#VirusCoronaindonesia'];positif
15/03/2020;"Setelah Menhan dikabarkan positif Corona, kini giliran para menteri bakal diperiksa kesehatannya satu per satu. #VirusCoronaIndonesia
#CoronaVirusUpdate #COVIDー19https://nusadaily.com/metro/virus-corona-serang-pejabat-para-menteri-bakal-diperiksa-satu-persatu.html …";['#VirusCoronaindonesia'];netral
15/03/2020;"Kata Pa Jokowi, masyarakat bekerja, belajar, dan beribadahnya di rumah saja ya #VirusCorona
#CoronaVirusUpdate #VirusCoronaIndonesia
https://nusadaily.com/headline/cegah-corona-jokowi-minta-masyarakat-bekerja-belajar-beribadah-di-rumah.html …";['#VirusCoronaindonesia'];positif
15/03/2020;"indonesia masalahnya masih sama. dananya
#VirusCoronaIndonesia https://twitter.com/drlrst/status/1238848430904049671 …";['#VirusCoronaindonesia'];negatif
15/03/2020;semoga virus ini cepat berlalu #COVIDー19 #VirusCoronaIndonesia #VirusCoronapic.twitter.com/fVZ8bJLxXo;['#VirusCoronaindonesia'];netral
15/03/2020;"Hebat, #VirusCoronaIndonesia memang bukan hanya masalah kesehatan, namun masalah sistim berpikir yang kompleks, melinbatkan hampir seluruh sendi kehidupan bernegara.
Apresiasi tinggi slrh gerak cepat pemimpin terkait. 
Ayo @Dita_Sari_ semangat selalu dalam kelelahanmu.";['#VirusCoronaindonesia'];positif
